#,TITLE,ARTIST,RELEASE,ADDED,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.,A.SEP,RND,Key
163,In My Place,Coldplay,2002-08-27,2026-07-02,145,59,42,-5,19,3:46,6,77,194,8199,12B
164,I Will Wait,Mumford & Sons,2012-09-21,2026-07-02,131,76,48,-5,45,4:36,1,76,1,2406,3B
46,Body Like A Back Road,Sam Hunt,2020-04-03,2026-07-02,99,46,74,-7,65,2:42,44,75,20,2136,7B
165,Here (with Chris Stapleton),Mumford & Sons,2026-02-20,2026-07-02,156,58,55,-6,45,3:11,16,75,25,2808,6B
31,Margaritaville,Jimmy Buffett,1977-01-01,2026-07-02,125,55,80,-14,86,4:10,71,75,58,8240,10B
149,Don't Stand So Close To Me,The Police,1980-10-03,2026-07-02,140,51,80,-9,52,4:02,5,74,48,6289,7A
35,It's Five O'Clock Somewhere,Alan Jackson,2003-10-09,2026-07-02,125,77,71,-7,89,3:49,22,74,61,8365,10B
50,One Thing Right,Marshmello,2019-06-21,2026-07-02,88,63,66,-2,44,3:01,6,74,161,1015,12B
171,The Cave,Mumford & Sons,2009-10-02,2026-07-02,142,49,58,-9,34,3:37,6,74,153,2340,12B
167,White Blank Page,Mumford & Sons,2009-10-02,2026-07-02,124,40,33,-10,31,4:14,23,74,66,2522,11B
54,Blink Twice,Shaboozey,2025-04-24,2026-07-02,110,64,61,-7,27,2:36,12,73,75,5127,11B
38,Fancy Like,Walker Hayes,2022-01-21,2026-07-02,80,77,65,-6,86,2:41,11,73,63,4376,3B
55,House Party,Sam Hunt,2014-10-24,2026-07-02,104,86,75,-5,86,3:10,11,73,164,2787,5B
69,The Ketchup Song (Aserejé) - Spanglish Version,Las Ketchup,2002,2026-07-02,185,92,61,-7,87,3:33,2,73,85,4134,2A
29,The Git Up,Blanco Brown,2019-10-10,2026-07-02,98,68,85,-9,81,3:20,7,72,57,6505,12B
155,Walking On The Moon,The Police,1979-10-02,2026-07-02,146,34,51,-13,27,5:00,0,72,192,5659,8B
44,Run It,Jelly Roll,2024-11-22,2026-07-02,127,83,77,-6,90,2:39,4,71,19,8032,5B
73,DUMBAI,CA7RIEL & Paco Amoroso,2024-04-17,2026-07-02,118,83,83,-5,84,2:28,20,70,90,5657,1A
153,Sowing The Seeds Of Love,Tears For Fears,1989-09-25,2026-07-02,87,77,33,-8,64,6:19,1,70,180,6038,8B
169,Rubber Band Man (with Hozier),Mumford & Sons,2026-02-20,2026-07-02,104,60,49,-5,19,3:40,56,69,109,1666,6B
166,Badlands (with Gracie Abrams),Mumford & Sons,2026-02-20,2026-07-02,126,30,71,-9,32,2:58,85,68,44,2877,6B
53,I’m Good - From The Movie “GOAT”,Jelly Roll,2026-01-23,2026-07-02,87,88,62,-4,68,2:59,7,68,163,5272,6B
150,King Of Pain,The Police,1983-06-17,2026-07-02,124,73,52,-9,65,4:59,39,68,98,2735,11B
51,GOOD TIME,Niko Moon,2021-08-27,2026-07-02,138,59,80,-7,69,3:34,9,67,162,1416,6B
71,Sonríele,Daddy Yankee,2025-07-10,2026-07-02,121,80,68,-5,95,2:58,7,67,22,2952,7B
168,Woman,Mumford & Sons,2018-11-16,2026-07-02,157,51,59,-12,15,4:34,65,67,88,4174,12B
48,Castaway,Zac Brown Band,2015-04-28,2026-07-02,101,78,63,-5,93,3:08,15,66,133,7234,4B
80,Tamo Bien,Enrique Iglesias,2025-03-05,2026-07-02,126,83,77,-4,67,3:05,4,66,95,6623,1A
170,The Banjo Song,Mumford & Sons,2026-02-20,2026-07-02,112,62,64,-5,35,3:49,25,66,131,9072,7B
78,Morenito,INNA,2026-06-19,2026-07-02,108,87,74,-5,94,2:15,26,65,94,9042,2A
36,Summer Nights,Rascal Flatts,2009-01-01,2026-07-02,102,90,54,-5,66,4:02,2,65,160,4585,10B
172,Believe,Mumford & Sons,2015-05-04,2026-07-02,115,62,34,-7,42,3:41,3,64,172,4420,10B
57,Jump Right In,Zac Brown Band,2012-07-06,2026-07-02,104,82,70,-5,65,3:00,9,64,188,4915,3B
173,Run Together,Mumford & Sons,2026-02-20,2026-07-02,115,52,42,-6,29,3:39,20,64,195,8234,10B
